feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
transport_min_distance,0.75,0.07482535677485155,0.08045800645704367,40,29.833113552790792,3.3252300994746345e-07,0.07120074833601621,0.0196078431372549,0.02898550724637681,0.256948791501543,0.615510405167195,0.11517784640446198,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_dist_to__G2,0.05,-0.005318887923439886,0.005318887923439886,40,28.387178533812857,6.851765690205105e-07,0.06774982943630753,0.0196078431372549,0.02898550724637681,0.24449513811203993,0.615510405167195,0.007306364639050955,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
bio_dist_to__G2,1.0,0.2685279229971596,0.2685279229971596,40,60.30601891297897,8.02997845930083e-14,0.14392844609302857,0.0196078431372549,0.02898550724637681,0.519408028013542,0.615510405167195,0.3104343487908769,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
sheaf_dist_to__G2,0.2,0.00626090298496409,0.00626090298496409,40,2.7183527161673737,0.25687226060917434,0.006487715313048625,0.1568627450980392,0.1839080459770115,0.023412824278570925,0.615510405167195,0.0023521136184014224,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_dist_to__G3,0.25,-0.007580880966991973,0.013843745545535862,40,20.265948226963246,3.9747082591512084e-05,0.04836741820277624,0.0196078431372549,0.02898550724637681,0.17454802015004284,0.615510405167195,0.026080508023358213,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
bio_dist_to__G3,1.0,0.30919052669550756,0.3429737230126353,40,72.23477122421923,2.0626176412772494e-16,0.17239802201484303,0.0196078431372549,0.02898550724637681,0.6221488460334464,0.615510405167195,0.37183940457761466,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
sheaf_dist_to__G3,0.325,0.009960334362634635,0.017877729377924305,40,22.207963282052106,1.5052271603854646e-05,0.053002299002510994,0.0196078431372549,0.02898550724637681,0.19127434744403746,0.615510405167195,0.037153625653016505,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_dist_to__G4,0.95,0.16509681381238667,0.16509681381238667,40,45.90619065456349,1.0754676633556496e-10,0.10956131421136871,0.0196078431372549,0.02898550724637681,0.3953841489007465,0.615510405167195,0.22449360321378461,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
bio_dist_to__G4,1.0,-1.3915447831168029,1.3915447831168029,40,116.10528844464966,6.138425005676816e-26,0.2771009270755362,0.0196078431372549,0.02898550724637681,1.0,0.615510405167195,0.597669523858001,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
sheaf_dist_to__G4,0.025,-0.0016504207993361913,0.0016504207993361913,40,21.881304744990757,1.7722910576983997e-05,0.05222268435558653,0.0196078431372549,0.02898550724637681,0.18846087924256896,0.615510405167195,0.00281593309906916,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
SRIS,0.0,0.0,0.0,40,19883.0,0.20513243666072678,0.07251311953352768,0.27450980392156865,0.33986928104575165,0.13631779716753625,0.3946823896729262,0.0,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_R,1.0,0.2077426304221405,0.2077426304221405,40,18227.0,0.008862991799555365,0.14976093294460646,0.0196078431372549,0.0463458110516934,0.2815363704125927,0.4479344102312526,0.12026516577733605,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_C,0.85,-0.11422908514860505,0.11422908514860505,40,23589.0,0.07945934718111908,0.10036151603498533,0.09803921568627451,0.15931372549019607,0.1886701451308807,0.42819562433380104,0.05772956581562698,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_R_to_C,1.0,-0.40047722725882096,0.40047722725882096,40,20197.0,0.311996332016626,0.05786588921282798,0.23529411764705882,0.30588235294117644,0.10878239137107028,0.41149331657303423,0.031070945806960286,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
frac_D_to_R,0.875,0.09219948040764622,0.09219948040764622,40,17394.0,0.0009790245621497933,0.18861807580174927,0.0196078431372549,0.0463458110516934,0.3545841189108607,0.4479344102312526,0.1325356402719439,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
frac_D_to_C,0.975,-0.16170800299012922,0.16170800299012922,40,24287.0,0.02018181109399049,0.13292128279883375,0.0392156862745098,0.0784313725490196,0.2498794229841714,0.42819562433380104,0.09614019904498233,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
