feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
bio_dist_to__1,1.0,-1.128525555576863,1.128525555576863,40,32841.0,1.437737550130583e-20,0.5319416909620991,0.0196078431372549,0.0463458110516934,1.0,0.6394795496750056,0.6098423512943458,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
p_sheaf__G4,1.0,0.23616509531086508,0.23616509531086508,40,11804.0,4.0191916806570235e-15,0.4493760932944606,0.0196078431372549,0.0463458110516934,0.8447844959880738,0.7,0.5639425913503273,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
p_sheaf__G2G3,1.0,-0.23616509531086485,0.23616509531086485,40,31071.0,4.0191916806570235e-15,0.4493760932944606,0.0196078431372549,0.0463458110516934,0.8447844959880738,0.7,0.5639425913503273,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
bio_dist_to__0,1.0,0.2875174337391629,0.2875174337391629,40,12635.0,7.137895544242562e-13,0.4106122448979592,0.0196078431372549,0.0463458110516934,0.7719121322401018,0.6394795496750056,0.4707447097179357,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
transport_margin,1.0,-0.4330595239792599,0.4330595239792599,40,29582.0,3.1312416703573183e-11,0.37991836734693885,0.0196078431372549,0.0463458110516934,0.7142105493927304,0.6394795496750056,0.43555584076088927,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_R__G4,1.0,-0.3607562126815094,0.3607562126815094,40,29913.0,4.841555890466677e-12,0.39535860058309047,0.0196078431372549,0.0463458110516934,0.7432367255667122,0.4464507020368665,0.316440157720552,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_R,1.0,0.2964616824160939,0.2964616824160939,40,18227.0,0.008862991799555365,0.14976093294460646,0.0196078431372549,0.0463458110516934,0.2815363704125927,0.4464507020368665,0.1198668074286865,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
frac_D_to_C,0.875,-0.09650276114470728,0.09650276114470728,40,25083.0,0.0029589150609770102,0.17005247813411084,0.0196078431372549,0.0463458110516934,0.3196825536019644,0.4166699808855535,0.11115016766998975,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_C,0.95,-0.18781896919864635,0.18781896919864635,40,23792.0,0.05494017153100456,0.10983090379008753,0.0392156862745098,0.07282913165266106,0.20647169728592113,0.4166699808855535,0.07577677594928266,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
frac_D_to_R,0.525,0.03861075516228864,0.03861075516228864,40,17976.0,0.004773281844091427,0.161469387755102,0.0196078431372549,0.0463458110516934,0.3035471565747358,0.4464507020368665,0.06785000803770722,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_R_to_C,1.0,-0.39236013764955735,0.39236013764955735,40,19607.0,0.13567204532820665,0.08538775510204077,0.09803921568627451,0.14994232987312572,0.16052089270837894,0.40710898993893263,0.05555084243428269,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_R__G2G3,0.55,0.05130873434676432,0.05130873434676432,40,18977.0,0.044880061069099114,0.11477551020408161,0.0784313725490196,0.12745098039215685,0.21576708905160694,0.4464507020368665,0.046228652768375816,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_C__G4,0.975,0.14068266171783256,0.14068266171783256,40,19713.0,0.15982079893291723,0.0804431486880467,0.3137254901960784,0.38842203548085896,0.15122550094269313,0.4166699808855535,0.037572811126751385,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
energy_margin,0.3,-0.013218087805935405,0.013218087805935405,40,23613.0,0.07616240455972885,0.10148104956268211,0.058823529411764705,0.10196078431372549,0.19077476213443223,0.38574599251062447,0.019826173402476697,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
transport_dist_to__1,0.075,-0.0014223912060023856,0.0014223912060023856,40,26289.0,7.64405530860823e-05,0.22630903790087453,0.0196078431372549,0.0463458110516934,0.4254395580304291,0.6394795496750056,0.01945882953021781,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
