model,model_family,feature,beta_per_sd,hazard_ratio_per_sd,hr_ci_low,hr_ci_high,p_value,regularized_fallback
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,egfr_amp,0.016040554293939975,1.0161698946230833,0.8984352778263693,1.1493329349627872,0.7984853180818101,False
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,P2_E_D_to_R,0.1409809482565491,1.151402711546712,1.0182583532080314,1.3019566203217516,0.024541454731110007,False
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,P2_E_D_to_C,0.07569260374080182,1.0786309560698641,0.9255904573465827,1.2569757284744165,0.33227704343086306,False
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,P2_E_R_to_C,-0.013867069339500502,0.9862286355735719,0.8274302205418076,1.175503259946697,0.8769711898720667,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,age,0.6091171372261325,1.8388072674598317,1.5618580067195362,2.164865277327518,2.60454754935973e-13,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,grade,0.40634932050447564,1.5013269051410028,1.2169806740197624,1.8521103286342404,0.00014886786148079128,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,purity_low,0.08302786220532883,1.0865720824209526,0.965310016996359,1.2230670660294813,0.16907223463923493,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,kps_low,0.17419197191451435,1.1902840449958023,1.0434903286038275,1.3577280679421262,0.009489656311109027,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,idh_mutant,-0.4056154314172638,0.6665664586592553,0.5386161294021693,0.8249118798256161,0.00019150947844954883,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,mgmt_methylated,-0.07700178434773074,0.9258882014985101,0.8198024075187931,1.0457019323336079,0.2148996045168392,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,egfr_amp,0.0003167968149173167,1.0003168470003276,0.8829360686082036,1.133302659126842,0.9960309598352002,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,P2_E_D_to_R,0.055400491421088945,1.0569638348700756,0.9528999113975907,1.1723923308847117,0.2948072564811337,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,P2_E_D_to_C,-0.03687557853057506,0.9637960448093643,0.834812357059451,1.1127085124400267,0.6149279320697665,False
Clinical + molecular + Phase2 edges [identity_projection],phase2_edges,P2_E_R_to_C,0.006850359386985422,1.0068738767690206,0.877517828682181,1.1552984686845067,0.9222173474025683,False
